species;island;bill_length_mm;bill_depth_mm;flipper_length_mm;body_mass_g;sex
Adelie;Torgersen;;187;;37500;Male
;;395;174;1860;;Female
Adelie;Torgersen;403;180;1950;32500;Female
Adelie;;;;;;
Adelie;;;193;1930;34500;
Adelie;;;206;1900;36500;Male
Adelie;;;178;1810;;Female
;;392;;1950;46750;Male
;Torgersen;341;181;1930;34750;
Adelie;Torgersen;420;202;1900;;
Adelie;;378;171;1860;;
Adelie;;;173;1800;37000;
Adelie;;411;;1820;32000;
;;386;212;1910;38000;
;Torgersen;346;211;;44000;
Adelie;Torgersen;366;178;;37000;
Adelie;;;;1950;34500;Female
;Torgersen;425;207;1970;45000;Male
Adelie;Torgersen;344;184;1840;33250;
Adelie;Torgersen;460;215;;42000;Male
;Biscoe;378;183;1740;34000;
Adelie;Biscoe;377;187;1800;;Male
Adelie;;359;192;;38000;
Adelie;Biscoe;382;181;1850;39500;Male
;Biscoe;388;;1800;38000;
Adelie;Biscoe;;189;1870;38000;
;;406;186;1830;35500;Male
Adelie;;405;;1870;32000;
Adelie;Biscoe;379;;;;Female
Adelie;Biscoe;405;189;1800;39500;
Adelie;Dream;395;167;1780;32500;Female
Adelie;Dream;372;181;1780;;Male
;Dream;395;178;1880;33000;
;Dream;409;189;1840;;
;Dream;364;170;1950;;Female
Adelie;;392;211;;41500;
Adelie;Dream;;200;1900;39500;Male
Adelie;Dream;422;185;1800;35500;
;Dream;;193;;;
Adelie;;398;191;;46500;Male
Adelie;Dream;365;;;;Female
;Dream;408;;1950;39000;Male
Adelie;Dream;360;;1860;31000;Female
Adelie;Dream;441;;1960;44000;Male
Adelie;Dream;370;169;1850;;Female
Adelie;;;188;;46000;Male
;Dream;;190;1820;34250;Male
Adelie;Dream;375;189;;29750;
Adelie;Dream;;179;1900;34500;
Adelie;Dream;423;;1910;41500;Male
;Biscoe;;;;;Female
Adelie;Biscoe;401;;;43000;Male
Adelie;;350;;;34500;
Adelie;;;;2000;;Male
Adelie;Biscoe;;;1870;29000;
Adelie;Biscoe;414;186;1910;37000;Male
Adelie;Biscoe;390;175;1860;35500;
Adelie;Biscoe;;;1930;38000;
Adelie;Biscoe;365;166;1810;28500;
;Biscoe;376;;;37500;Male
Adelie;;;169;1850;31500;Female
;Biscoe;413;;;44000;Male
;Biscoe;;170;;;Female
Adelie;Biscoe;411;182;1920;40500;Male
;;364;171;1840;;Female
Adelie;;;180;1920;39500;Male
;Biscoe;355;162;1950;33500;
Adelie;Biscoe;411;191;1880;41000;Male
;Torgersen;;;1900;;Female
Adelie;Torgersen;418;194;1980;44500;Male
Adelie;Torgersen;335;190;1900;36000;Female
Adelie;Torgersen;397;;;39000;Male
;;396;172;1960;35500;
Adelie;;458;189;1970;41500;Male
Adelie;Torgersen;355;175;;37000;Female
;;;185;1950;42500;
Adelie;Torgersen;409;168;1910;37000;Female
Adelie;;;194;1840;39000;Male
Adelie;Torgersen;362;161;1870;35500;Female
Adelie;Torgersen;421;191;1950;40000;Male
Adelie;Torgersen;;;;32000;Female
Adelie;Torgersen;;176;1960;47000;
;Torgersen;367;188;1870;38000;Female
;Torgersen;351;194;1930;42000;Male
Adelie;Dream;373;178;1910;;Female
;;413;;1940;35500;Male
Adelie;Dream;363;195;1900;38000;
Adelie;Dream;369;186;;35000;Female
Adelie;Dream;383;;;39500;Male
Adelie;Dream;;188;;;Female
Adelie;;357;180;2020;35500;Female
Adelie;;411;181;2050;43000;
Adelie;Dream;340;171;1850;34000;Female
Adelie;Dream;396;181;1860;;
Adelie;Dream;;173;1870;33000;
;Dream;408;;2080;;
Adelie;Dream;381;;;37000;Female
;Dream;403;185;1960;;
;Dream;;;1780;29000;
;Dream;;185;1920;41000;Male
;Biscoe;350;;;;Female
Adelie;;410;200;2030;47250;Male
;Biscoe;377;;1830;;Female
Adelie;;378;;1900;;Male
Adelie;Biscoe;379;186;1930;29250;Female
;Biscoe;;189;1840;35500;Male
Adelie;Biscoe;386;172;1990;37500;
Adelie;Biscoe;382;;;;Male
Adelie;;381;170;1810;31750;Female
Adelie;Biscoe;432;;1970;47750;Male
;Biscoe;381;;1980;;
;Biscoe;456;;1910;;
;;397;;;32000;Female
Adelie;Biscoe;422;195;;42750;Male
;Biscoe;396;207;1910;39000;Female
Adelie;Biscoe;;183;1960;40750;
Adelie;;386;170;1880;;
;Torgersen;;;1990;;Male
Adelie;Torgersen;357;;;33500;Female
;Torgersen;;186;1890;33250;Male
Adelie;Torgersen;362;;1870;;Female
;Torgersen;;198;1980;35000;Male
Adelie;Torgersen;402;170;1760;34500;Female
Adelie;;414;185;2020;38750;Male
Adelie;Torgersen;352;159;1860;;Female
Adelie;;;;1990;40000;Male
Adelie;Torgersen;;176;1910;;Female
;;415;183;;43000;
;;390;171;1910;30500;Female
Adelie;Torgersen;441;180;2100;40000;Male
;;385;179;;33250;Female
Adelie;Torgersen;431;192;1970;35000;Male
;Dream;;185;1930;;Female
