species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,37.7,18.7,180.0,3750.0,Male
Adelie,Torgersen,39.5,17.4,186.0,3636.8,Female
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female
Adelie,Torgersen,43.7,17.2,200.6,4173.5,Female
Adelie,Torgersen,35.0,19.3,193.0,3450.0,Male
Adelie,Torgersen,37.8,20.6,190.0,3650.0,Male
Adelie,Torgersen,58.0,17.8,181.0,3700.0,Female
Adelie,Torgersen,39.2,18.1,195.0,4675.0,Male
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Female
Adelie,Torgersen,42.0,20.2,190.0,3944.5,Male
Adelie,Torgersen,37.8,17.1,186.0,3636.3,Female
Adelie,Torgersen,47.0,17.3,180.0,3700.0,Female
Adelie,Torgersen,41.1,17.3,182.0,3200.0,Female
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male
Adelie,Torgersen,34.6,21.1,211.3,4400.0,Male
Adelie,Torgersen,36.6,17.8,189.8,3700.0,Female
Adelie,Torgersen,44.3,17.9,195.0,3450.0,Female
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Male
Adelie,Torgersen,46.0,21.5,204.0,4200.0,Male
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Male
Adelie,Biscoe,37.7,18.7,180.0,3750.0,Male
Adelie,Biscoe,35.9,19.2,193.0,3800.0,Male
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
Adelie,Biscoe,38.8,17.8,180.0,3800.0,Female
Adelie,Biscoe,41.5,18.9,187.0,3800.0,Male
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male
Adelie,Biscoe,40.5,17.2,187.0,3200.0,Female
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male
Adelie,Dream,39.5,16.7,178.0,3250.0,Female
Adelie,Dream,37.2,18.1,178.0,2900.0,Male
Adelie,Dream,39.5,17.8,188.0,3300.0,Female
Adelie,Dream,40.9,18.9,184.0,3550.0,Male
Adelie,Dream,36.4,17.0,195.0,3800.0,Female
Adelie,Dream,39.2,21.1,195.0,4150.0,Male
Adelie,Dream,38.0,20.0,190.0,3950.0,Male
Adelie,Dream,42.2,18.5,180.0,3550.0,Male
